nohup: ignoring input
Start loading file addresses ...
done! time: 0.9916117191314697
Number of images found: 289508
No model checkpoint found.
Current best validation metric (fid_score): inf
[(levelname)s] [Epoch 00] it=1460, time=7.182, generator: 0.6489, generator_static: 0.6376, discriminator: 1.3115, regularizer: 0.0443, pose_estimator: 0.0995
[(levelname)s] [Epoch 00] it=1470, time=7.163, generator: 0.6742, generator_static: 0.6529, discriminator: 1.3074, regularizer: 0.0423, pose_estimator: 0.0976
[(levelname)s] [Epoch 00] it=1480, time=7.185, generator: 0.6504, generator_static: 0.6311, discriminator: 1.3012, regularizer: 0.0399, pose_estimator: 0.1010
[(levelname)s] [Epoch 00] it=1490, time=7.173, generator: 0.7511, generator_static: 0.7218, discriminator: 1.2972, regularizer: 0.0432, pose_estimator: 0.0991
[(levelname)s] [Epoch 00] it=1500, time=7.321, generator: 0.7262, generator_static: 0.7041, discriminator: 1.2883, regularizer: 0.0386, pose_estimator: 0.0975
[(levelname)s] Saving checkpoint
[(levelname)s] [Epoch 00] it=1510, time=7.311, generator: 0.7614, generator_static: 0.7261, discriminator: 1.2843, regularizer: 0.0416, pose_estimator: 0.1010
[(levelname)s] [Epoch 00] it=1520, time=7.185, generator: 0.6108, generator_static: 0.5935, discriminator: 1.3002, regularizer: 0.0431, pose_estimator: 0.0942
[(levelname)s] [Epoch 00] it=1530, time=7.316, generator: 0.6877, generator_static: 0.6713, discriminator: 1.2860, regularizer: 0.0434, pose_estimator: 0.0993
[(levelname)s] [Epoch 00] it=1540, time=7.264, generator: 0.7039, generator_static: 0.6838, discriminator: 1.3108, regularizer: 0.0380, pose_estimator: 0.1015
[(levelname)s] [Epoch 00] it=1550, time=7.209, generator: 0.6556, generator_static: 0.6453, discriminator: 1.2889, regularizer: 0.0391, pose_estimator: 0.0937
[(levelname)s] [Epoch 00] it=1560, time=7.157, generator: 0.7526, generator_static: 0.7219, discriminator: 1.2830, regularizer: 0.0444, pose_estimator: 0.0958
[(levelname)s] [Epoch 00] it=1570, time=7.192, generator: 0.6918, generator_static: 0.6662, discriminator: 1.2830, regularizer: 0.0436, pose_estimator: 0.0968
[(levelname)s] [Epoch 00] it=1580, time=7.153, generator: 0.7258, generator_static: 0.7028, discriminator: 1.2903, regularizer: 0.0401, pose_estimator: 0.1062
