nohup: ignoring input
Start loading file addresses ...
done! time: 0.9651718139648438
Number of images found: 289508
out/human_encoder/model.pt
=> Loading checkpoint from local file...
Loaded model checkpoint.
Current best validation metric (fid_score): inf
[(levelname)s] [Epoch 01] it=1620, time=4.743, generator: 0.8218, discriminator: 1.1915, regularizer: 0.0851, pose_estimator: 0.0228
[(levelname)s] [Epoch 01] it=1630, time=4.807, generator: 0.6299, discriminator: 1.1755, regularizer: 0.0799, pose_estimator: 0.0232
[(levelname)s] [Epoch 01] it=1640, time=4.794, generator: 0.7327, discriminator: 1.1962, regularizer: 0.0786, pose_estimator: 0.0225
[(levelname)s] [Epoch 01] it=1650, time=4.774, generator: 0.6154, discriminator: 1.1748, regularizer: 0.0812, pose_estimator: 0.0227
[(levelname)s] [Epoch 01] it=1660, time=4.761, generator: 0.6408, discriminator: 1.1945, regularizer: 0.0831, pose_estimator: 0.0228
[(levelname)s] [Epoch 01] it=1670, time=4.740, generator: 0.6830, discriminator: 1.2032, regularizer: 0.0839, pose_estimator: 0.0225
[(levelname)s] [Epoch 01] it=1680, time=4.775, generator: 0.7053, discriminator: 1.1872, regularizer: 0.0775, pose_estimator: 0.0226
[(levelname)s] [Epoch 01] it=1690, time=4.745, generator: 0.7152, discriminator: 1.1672, regularizer: 0.0793, pose_estimator: 0.0227
[(levelname)s] [Epoch 01] it=1700, time=4.760, generator: 0.7139, discriminator: 1.1886, regularizer: 0.0777, pose_estimator: 0.0227
[(levelname)s] [Epoch 01] it=1710, time=4.766, generator: 0.6899, discriminator: 1.1516, regularizer: 0.0829, pose_estimator: 0.0224
[(levelname)s] [Epoch 01] it=1720, time=4.716, generator: 0.6410, discriminator: 1.2063, regularizer: 0.0766, pose_estimator: 0.0225
[(levelname)s] [Epoch 01] it=1730, time=4.739, generator: 0.7532, discriminator: 1.2227, regularizer: 0.0627, pose_estimator: 0.0226
[(levelname)s] [Epoch 01] it=1740, time=4.731, generator: 0.6811, discriminator: 1.1756, regularizer: 0.0766, pose_estimator: 0.0223
[(levelname)s] [Epoch 01] it=1750, time=4.747, generator: 0.6786, discriminator: 1.1655, regularizer: 0.0824, pose_estimator: 0.0223
[(levelname)s] [Epoch 01] it=1760, time=4.761, generator: 0.6988, discriminator: 1.1547, regularizer: 0.0836, pose_estimator: 0.0225
[(levelname)s] [Epoch 01] it=1770, time=4.727, generator: 0.7522, discriminator: 1.1901, regularizer: 0.0778, pose_estimator: 0.0229
[(levelname)s] [Epoch 01] it=1780, time=4.765, generator: 0.7108, discriminator: 1.1785, regularizer: 0.0777, pose_estimator: 0.0222
[(levelname)s] [Epoch 01] it=1790, time=4.750, generator: 0.7551, discriminator: 1.1953, regularizer: 0.0866, pose_estimator: 0.0225
[(levelname)s] [Epoch 01] it=1800, time=4.726, generator: 0.6655, discriminator: 1.1719, regularizer: 0.0835, pose_estimator: 0.0221
[(levelname)s] [Epoch 01] it=1810, time=4.732, generator: 0.6146, discriminator: 1.2176, regularizer: 0.0774, pose_estimator: 0.0224
[(levelname)s] [Epoch 01] it=1820, time=4.754, generator: 0.7186, discriminator: 1.1777, regularizer: 0.0747, pose_estimator: 0.0221
[(levelname)s] [Epoch 01] it=1830, time=4.759, generator: 0.6999, discriminator: 1.1746, regularizer: 0.0851, pose_estimator: 0.0222
[(levelname)s] [Epoch 01] it=1840, time=4.734, generator: 0.6351, discriminator: 1.1825, regularizer: 0.0785, pose_estimator: 0.0219
[(levelname)s] [Epoch 01] it=1850, time=4.727, generator: 0.6764, discriminator: 1.1725, regularizer: 0.0828, pose_estimator: 0.0220
[(levelname)s] [Epoch 01] it=1860, time=4.777, generator: 0.7068, discriminator: 1.1658, regularizer: 0.0869, pose_estimator: 0.0223
[(levelname)s] [Epoch 01] it=1870, time=4.752, generator: 0.7073, discriminator: 1.2034, regularizer: 0.0785, pose_estimator: 0.0222
[(levelname)s] [Epoch 01] it=1880, time=4.740, generator: 0.7031, discriminator: 1.1695, regularizer: 0.0822, pose_estimator: 0.0219
[(levelname)s] [Epoch 01] it=1890, time=4.691, generator: 0.6729, discriminator: 1.1477, regularizer: 0.0842, pose_estimator: 0.0224
